epoch,step,train_loss
0,49,1.76637864112854
0,99,1.2302110195159912
0,149,1.2704945802688599
0,199,1.1637479066848755
0,249,0.9990488290786743
0,299,0.9519947171211243
0,349,0.9719587564468384
0,399,0.8314725756645203
0,449,0.7122384309768677
0,499,0.7297919988632202
0,549,0.5884159207344055
0,599,0.32029396295547485
0,649,0.131879523396492
0,699,0.11808496713638306
0,749,0.06596194207668304
0,799,0.24609355628490448
0,849,0.12154395878314972
0,899,0.02481674589216709
1,949,0.3794061839580536
1,999,0.02715848945081234
1,1049,0.7681559920310974
1,1099,0.06507839262485504
1,1149,0.018635272979736328
1,1199,0.01763976365327835
1,1249,0.07809701561927795
1,1299,0.026385542005300522
1,1349,0.006571380887180567
1,1399,0.08873041719198227
1,1449,0.012021359987556934
1,1499,0.012015302665531635
1,1549,0.005784898065030575
1,1599,0.004087014123797417
1,1649,0.008175539784133434
1,1699,0.007834764197468758
1,1749,0.11559276282787323
1,1799,0.011387282982468605
1,1849,0.007119908928871155
2,1899,0.12288568913936615
2,1949,0.17240002751350403
2,1999,0.04193398356437683
2,2049,1.3111145496368408
2,2099,0.03004145249724388
2,2149,0.007791235111653805
2,2199,0.01780119724571705
2,2249,0.06449983268976212
2,2299,0.010090216062963009
2,2349,0.004895476158708334
2,2399,0.008750557899475098
2,2449,0.006189313251525164
2,2499,0.005048234481364489
2,2549,0.01111337449401617
2,2599,0.003408040152862668
2,2649,0.008164004422724247
2,2699,0.004009741824120283
2,2749,0.0026394217275083065
2,2799,0.005059714429080486
3,2849,0.0035459878854453564
3,2899,0.004864329006522894
3,2949,0.0046564070507884026
3,2999,0.0040190997533500195
3,3049,0.002855195663869381
3,3099,0.0031144802924245596
3,3149,0.03402741253376007
3,3199,1.1891365051269531
3,3249,0.020258789882063866
3,3299,0.0038036671467125416
3,3349,0.011864129453897476
3,3399,1.4280520677566528
3,3449,0.09399737417697906
3,3499,0.015864158049225807
3,3549,0.030608296394348145
3,3599,0.049758411943912506
3,3649,0.012594901025295258
3,3699,0.0471905842423439
3,3749,0.023904817178845406
4,3799,0.0036918744444847107
4,3849,0.024801161140203476
4,3899,0.005791148636490107
4,3949,0.03875391557812691
4,3999,0.002742552664130926
4,4049,0.1535489410161972
4,4099,0.004520579241216183
4,4149,0.01373413484543562
4,4199,0.001860742224380374
4,4249,0.11435382068157196
4,4299,0.01846073940396309
4,4349,0.012880627997219563
4,4399,0.0042193918488919735
4,4449,0.0022268653847277164
4,4499,0.0065649389289319515
4,4549,0.006410966161638498
4,4599,0.0034954329021275043
4,4649,0.003308825893327594
5,4699,0.001895408728159964
5,4749,0.019207239151000977
5,4799,0.0017438072245568037
5,4849,0.001340109622105956
5,4899,0.001601054915226996
5,4949,0.00157126784324646
5,4999,0.002176702721044421
5,5049,0.0009933311957865953
5,5099,0.0009369629551656544
5,5149,0.0010823743650689721
5,5199,0.0007061581709422171
5,5249,0.0010022006463259459
5,5299,0.0007190469768829644
5,5349,0.0006531012477353215
5,5399,0.0005964870797470212
5,5449,0.0006076166755519807
5,5499,0.0009035022812895477
5,5549,0.0013204013230279088
5,5599,0.000871864496730268
6,5649,0.1431553065776825
6,5699,0.005027901381254196
6,5749,0.0022716603707522154
6,5799,0.0018307492136955261
6,5849,0.00175655004568398
6,5899,0.002533453982323408
6,5949,0.0009511803509667516
6,5999,0.0010382827604189515
6,6049,0.0009017192060127854
6,6099,0.0009848118061199784
6,6149,0.005992191843688488
6,6199,0.0009029227076098323
6,6249,0.0018080646404996514
6,6299,0.0007284083985723555
6,6349,0.010249350219964981
6,6399,0.0015792058547958732
6,6449,0.005453422199934721
6,6499,0.0008885565330274403
6,6549,0.0032023186795413494
7,6599,0.0010432703420519829
7,6649,0.0008372123120352626
7,6699,0.0017343269428238273
7,6749,0.0005737063474953175
7,6799,0.0005813966854475439
7,6849,0.0008036286453716457
7,6899,0.0005534532247111201
7,6949,0.00039897410897538066
7,6999,0.00031527847750112414
7,7049,0.13838961720466614
7,7099,0.5109678506851196
7,7149,0.0016055594896897674
7,7199,0.0015239572385326028
7,7249,0.001255130278877914
7,7299,0.002162333345040679
7,7349,0.0014281003968790174
7,7399,0.0012394014047458768
7,7449,0.0010451703565195203
7,7499,0.0014410868752747774
8,7549,0.03728948533535004
8,7599,0.0008526601595804095
8,7649,0.0005660386523231864
8,7699,0.0035031884908676147
8,7749,0.001962381647899747
8,7799,0.0011265388457104564
8,7849,0.000979891512542963
8,7899,0.022836195304989815
8,7949,0.0013519816566258669
8,7999,0.0019690925255417824
8,8049,0.00289247022010386
8,8099,0.000917506986297667
8,8149,0.0020400220528244972
8,8199,0.000492145714815706
8,8249,0.0004071823786944151
8,8299,0.0004978642100468278
8,8349,0.0005948130274191499
8,8399,0.0021581044420599937
9,8449,0.0006001830333843827
9,8499,0.0005151305813342333
9,8549,0.0008718494209460914
9,8599,0.002782945055514574
9,8649,0.0008465232094749808
9,8699,0.0005811486626043916
9,8749,0.0014580033021047711
9,8799,0.0011416930938139558
9,8849,0.00225416524335742
9,8899,0.0005061117117293179
9,8949,0.0002917595556937158
9,8999,0.00028553535230457783
9,9049,0.00027843573479913175
9,9099,0.0002481522678863257
9,9149,0.00041899309144355357
9,9199,0.00022888432431500405
9,9249,0.00022532425646204501
9,9299,0.0005493125063367188
9,9349,0.0008336909231729805
